total_population,population_density,male_percent,percent_inhouseholds,percent_marriedhouseholds,percent_cohabitingcouple,percent_solomale,percent_solofemale,percent_occupiedhousingunits,percent_owneroccupied,percent_renteroccupied,median_age,percent_under5,percent_5to9,percent_10to14,percent_15to19,percent_20to24,percent_25to29,percent_30to34,percent_35to39,percent_40to44,percent_45to49,percent_50to54,percent_55to59,percent_60to64,percent_65to69,percent_70to74,percent_75to79,percent_80to84,percent_over85,male_median_age,male_percent_under5,male_percent_5to9,male_percent_10to14,male_percent_15to19,male_percent_20to24,male_percent_25to29,male_percent_30to34,male_percent_35to39,male_percent_40to44,male_percent_45to49,male_percent_50to54,male_percent_55to59,male_percent_60to64,male_percent_65to69,male_percent_70to74,male_percent_75to79,male_percent_80to84,male_percent_over85,Female_median_age,female_percent_under5,female_percent_5to9,female_percent_10to14,female_percent_15to19,female_percent_20to24,female_percent_25to29,female_percent_30to34,female_percent_35to39,female_percent_40to44,female_percent_45to49,female_percent_50to54,female_percent_55to59,female_percent_60to64,female_percent_65to69,female_percent_70to74,female_percent_75to79,female_percent_80to84,female_percent_over85,median_household_income,percent_income_under10k,percent_income_10to15k,percent_income_15to25k,percent_income_25to35k,percent_income_35to50k,percent_income_50to75k,percent_income_75to100k,percent_income_100to150k,percent_income_150to200k,percent_income_over200k,percent_novehicles,percent_1vehicle_perperson,percent_lessthan1vehicle_perperson,under25y_percent_highschool,under25y_percent_somecollege,under25y_percent_bachelors,over25y_percent_highschool,over25y_percent_somecollege,over25y_percent_bachelors,over25y_percent_graduatedegree,bike_volume
74.94114474,76.47055586109694,0.0185242993743622,0.040247661,0.002874833,0.001621146,0.003847521,0.005447052,0.0343644114021167,0.0171822057010583,0.0171822057010583,1.489163456242414,0.002075067,0.001988606,0.002745141,0.001988606,0.002377681,0.003112601,0.003998828,0.003998828,0.003285523,0.002615449,0.002312836,0.002226374,0.001815684,0.002053452,0.001534685,0.001232071,0.000626843,0.000259383,1.4126929003813171,0.002113354,0.002160318,0.00328744,0.001972464,0.002676916,0.003381367,0.004414563,0.003804038,0.00328744,0.002489062,0.00300566,0.002019428,0.00164372,0.00178461,0.001080159,0.000845342,0.000187854,9.392685187645834e-05,1.573683544299416,0.002042419,0.001842181,0.002282703,0.002002371,0.002122513,0.002883415,0.003644316,0.004164932,0.003283889,0.002723225,0.001722039,0.002402845,0.001962324,0.002282703,0.001922276,0.00156185,0.001001186,0.000400474,1421.2656521699555,0.002133126,0.005755416,0.010102163,0.002052631,0.00688235,0.003823528,0.002897832,0.002535603,0.003541794,0.00052322,0.003415215,0.007176275,0.009229727,0.008934981,0.03131268,0.0,0.0104643918546764,0.0100619152448811,0.006801855,0.007486065,25579.53469710966
74.94114474358213,76.47055586,0.018524299,0.040247661,0.002874833,0.001621146,0.003847521,0.005447052,0.0343644114019824,0.0171822057009912,0.0171822057009912,1.4891634562365943,0.002075067,0.001988606,0.002745141,0.001988606,0.002377681,0.003112601,0.003998828,0.003998828,0.003285523,0.002615449,0.002312836,0.002226374,0.001815684,0.002053452,0.001534685,0.001232071,0.000626843,0.000259383,1.4126929003757964,0.002113354,0.002160318,0.00328744,0.001972464,0.002676916,0.003381367,0.004414563,0.003804038,0.00328744,0.002489062,0.00300566,0.002019428,0.00164372,0.00178461,0.001080159,0.000845342,0.000187854,9.392685187609128e-05,1.5736835442932662,0.002042419,0.001842181,0.002282703,0.002002371,0.002122513,0.002883415,0.003644316,0.004164932,0.003283889,0.002723225,0.001722039,0.002402845,0.001962324,0.002282703,0.001922276,0.00156185,0.001001186,0.000400474,1421.2656521644017,0.002133126,0.005755416,0.0101021629058212,0.002052631,0.00688235,0.003823528,0.002897832,0.002535603,0.003541794,0.00052322,0.003415215,0.007176275,0.009229727,0.008934981,0.03131268,0.0,0.0104643918546355,0.0100619152448418,0.006801855,0.007486065,25579.53469710966
74.94114474358213,76.47055586,0.018524299,0.040247661,0.002874833,0.001621146,0.003847521,0.005447052,0.0343644114019824,0.0171822057009912,0.0171822057009912,1.4891634562365943,0.002075067,0.001988606,0.002745141,0.001988606,0.002377681,0.003112601,0.003998828,0.003998828,0.003285523,0.002615449,0.002312836,0.002226374,0.001815684,0.002053452,0.001534685,0.001232071,0.000626843,0.000259383,1.4126929003757964,0.002113354,0.002160318,0.00328744,0.001972464,0.002676916,0.003381367,0.004414563,0.003804038,0.00328744,0.002489062,0.00300566,0.002019428,0.00164372,0.00178461,0.001080159,0.000845342,0.000187854,9.392685187609128e-05,1.5736835442932662,0.002042419,0.001842181,0.002282703,0.002002371,0.002122513,0.002883415,0.003644316,0.004164932,0.003283889,0.002723225,0.001722039,0.002402845,0.001962324,0.002282703,0.001922276,0.00156185,0.001001186,0.000400474,1421.2656521644017,0.002133126,0.005755416,0.0101021629058212,0.002052631,0.00688235,0.003823528,0.002897832,0.002535603,0.003541794,0.00052322,0.003415215,0.007176275,0.009229727,0.008934981,0.03131268,0.0,0.0104643918546355,0.0100619152448418,0.006801855,0.007486065,25579.53469710966
75.66207837683912,75.54038656312291,0.0182075191462235,0.03955168,0.002824294,0.001576935,0.003738203,0.005281009,0.03377391,0.016882384,0.016891527,1.4603772235965613,0.00205754,0.001981581,0.002700942,0.001973189,0.002343924,0.00306363,0.003910426,0.003901354,0.003207611,0.002557632,0.002267847,0.002188485,0.001790425,0.002024092,0.001508006,0.001205746,0.000614834,0.000254414,1.385412967097651,0.002100353,0.002143965,0.00323366,0.001963652,0.00263445,0.003325282,0.004311138,0.00370753,0.003207761,0.002438988,0.002936314,0.001986252,0.001622694,0.001758906,0.001067584,0.000830954,0.000190575,9.162236566132366e-05,1.5431598484292817,0.002020952,0.001843143,0.002246512,0.001981242,0.002096138,0.002840461,0.003568701,0.004066726,0.003207507,0.002658769,0.001697774,0.002360985,0.001933491,0.002250321,0.001883624,0.001525393,0.000976655,0.000393286,1392.0992864478328,0.002281094,0.005578637,0.009760091,0.002135774,0.006792767,0.003796036,0.002861516,0.002443933,0.003399616,0.000502216,0.003347293,0.006988217,0.009065154,0.008895432,0.0304051757305853,0.0,0.0103340189747903,0.009990004,0.006595025,0.007231536,25579.53469710966
81.88210123594615,67.50921566245464,0.0154730668158943,0.033543881,0.002388017,0.001195336,0.002794521,0.003847667,0.0286766342180573,0.0142940414058777,0.0143825928121765,1.2118832960610255,0.001906237,0.001920935,0.002319435,0.001840148,0.002052518,0.002640968,0.003147331,0.003059977,0.002535112,0.002058576,0.001879487,0.001861386,0.001572356,0.001770591,0.001277683,0.000978474,0.000511152,0.000211516,1.1499201187582573,0.001988093,0.00200283,0.002769439,0.001887656,0.002267852,0.002841247,0.003418349,0.00287449,0.002519991,0.002006749,0.002337701,0.001699843,0.001441145,0.001536964,0.000959024,0.000706742,0.000214042,7.172469651424069e-05,1.2796706113405736,0.001835656,0.001851412,0.001934131,0.001798868,0.00186847,0.002469709,0.00291601,0.003219031,0.002548224,0.002102428,0.001488306,0.001999603,0.001684588,0.001970731,0.001549948,0.001210651,0.00076488,0.000331234,1140.3755196738207,0.003557976,0.004052651,0.006807503,0.002853133,0.006019649,0.003558846,0.00254795,0.001652884,0.002172337,0.000320954,0.002760904,0.005365056,0.007644484,0.008555027,0.022570487,4.448199123536806e-07,0.009208828,0.009369029,0.004809887,0.005034268,25579.53469710966
88.14558729,52.88540798112542,0.0112207014716264,0.0241148748502874,0.001684815,0.00064525,0.001267352,0.001553643,0.0206851300326075,0.009968286,0.0107168444741647,0.8136633828389871,0.001660064,0.001824105,0.001746232,0.001676161,0.001584551,0.00204232,0.001951709,0.001773781,0.001530324,0.001307207,0.001259989,0.00131194,0.001193109,0.001306261,0.000891356,0.000589585,0.000325643,0.000140538,0.7704583367258352,0.001781603,0.001810355,0.002058888,0.001845635,0.001665021,0.002185816,0.0019966,0.001600445,0.001480413,0.001334079,0.001383493,0.001218332,0.001101704,0.001125,0.000771102,0.00049446,0.000227003,3.492592519343746e-05,0.8608939191379676,0.001554856,0.001835218,0.001474397,0.001527238,0.001515265,0.001916099,0.001913767,0.001924771,0.001574224,0.001284543,0.001153164,0.001393217,0.001273245,0.001463957,0.000995504,0.00067163,0.000411247,0.000232532,793.9547705112923,0.005124569,0.001641498,0.002422364,0.003599305,0.004999969,0.003321659,0.001961113,0.000697246,0.00026631,8.423661191843836e-05,0.001759385,0.00300986,0.005354711,0.009103018,0.009179218,0.000492152,0.00766903,0.008142611,0.002273425,0.001425389,25579.53469710966
69.36661056467052,40.984474297648994,0.0111877,0.0235654611344078,0.001542709,0.000880321,0.000926139,0.001176749,0.020265834,0.008274641,0.0119911931012473,0.7454897095388541,0.001598069,0.001809441,0.00185269,0.001911837,0.001499197,0.002361483,0.001893128,0.001886585,0.001749057,0.001437875,0.001169269,0.001082508,0.000968583,0.000915492,0.000732895,0.000390763,0.00019017,0.000116419,0.6943678959079311,0.001603763,0.001957991,0.002116123,0.002265903,0.001479577,0.002718044,0.001801304,0.001708851,0.001637887,0.001326138,0.001247411,0.001015156,0.000783668,0.000752791,0.000664176,0.000387229,9.714665756793228e-05,2.302447132585319e-06,0.8078164930451615,0.001593292,0.001674646,0.001614693,0.001591298,0.00151719,0.002038538,0.00197646,0.002047244,0.00184971,0.00153932,0.001098662,0.001143327,0.001136016,0.001062507,0.000794919,0.000393738,0.000274301,0.000219599,1039.9762618241275,0.002822316,0.001412483,0.003528428,0.001565135,0.006000447,0.004046947,0.001408684,0.002205873,0.000265453,0.000331816,0.001256687,0.003924831,0.004892498,0.0150568644885507,0.002407042,0.003207554,0.008816747,0.006693205,0.003577003,0.000337673,25579.53469710966
67.78305183906272,40.15583640023445,0.011225026752262,0.0236095617690918,0.001537788,0.000904581,0.000912804,0.001167732,0.020306975,0.008177833,0.0121291420529982,0.7437011957263935,0.001595352,0.001809162,0.001866726,0.001932514,0.00149667,0.002393028,0.00189962,0.001907843,0.001776268,0.001455553,0.001167732,0.00106905,0.000953922,0.000888134,0.000723665,0.000378279,0.000180916,0.000115128,0.6917601598343914,0.001591267,0.001971788,0.002127455,0.002300419,0.001470192,0.002767421,0.001798824,0.001729638,0.001660453,0.001331821,0.00124534,0.00100319,0.000761041,0.000726448,0.000657263,0.00038052,8.648191919843055e-05,0.0,0.8074470125029416,0.001599054,0.001661762,0.001630408,0.001599054,0.001520669,0.002053687,0.001990979,0.002069364,0.00188124,0.0015677,0.00109739,0.001128744,0.001128744,0.001034682,0.00078385,0.000376248,0.000266509,0.000219478,1063.2093951475135,0.002620661,0.001416574,0.003659482,0.001392964,0.006091267,0.004108064,0.001369355,0.002337347,0.000283315,0.000354143,0.001225296,0.004021273,0.004876513,0.0155350916440624,0.001983203,0.003423386,0.008924414,0.006587068,0.003706701,0.000283315,25579.53469710966
67.78305183932761,40.15583640039137,0.0112250267523059,0.023609562,0.001537788,0.000904581,0.000912804,0.001167732,0.0203069752881137,0.008177833,0.0121291420530456,0.7437011957292998,0.001595352,0.001809162,0.001866726,0.001932514,0.00149667,0.002393028,0.00189962,0.001907843,0.001776268,0.001455553,0.001167732,0.00106905,0.000953922,0.000888134,0.000723665,0.000378279,0.000180916,0.000115128,0.6917601598370947,0.001591267,0.001971788,0.002127455,0.002300419,0.001470192,0.002767421,0.001798824,0.001729638,0.001660453,0.001331821,0.00124534,0.00100319,0.000761041,0.000726448,0.000657263,0.00038052,8.648191919876851e-05,0.0,0.807447013,0.001599054,0.001661762,0.001630408,0.001599054,0.001520669,0.002053687,0.001990979,0.002069364,0.00188124,0.0015677,0.00109739,0.001128744,0.001128744,0.001034682,0.00078385,0.000376248,0.000266509,0.000219478,1063.2093951516686,0.002620661,0.001416574,0.003659482,0.001392964,0.006091267,0.004108064,0.001369355,0.002337347,0.000283315,0.000354143,0.001225296,0.004021273,0.004876513,0.0155350916441231,0.001983203,0.003423386,0.008924414,0.006587068,0.003706701,0.000283315,25579.53469710966
67.78305183906272,40.15583640023445,0.011225026752262,0.0236095617690918,0.001537788,0.000904581,0.000912804,0.001167732,0.020306975,0.008177833,0.0121291420529982,0.7437011957263935,0.001595352,0.001809162,0.001866726,0.001932514,0.00149667,0.002393028,0.00189962,0.001907843,0.001776268,0.001455553,0.001167732,0.00106905,0.000953922,0.000888134,0.000723665,0.000378279,0.000180916,0.000115128,0.6917601598343914,0.001591267,0.001971788,0.002127455,0.002300419,0.001470192,0.002767421,0.001798824,0.001729638,0.001660453,0.001331821,0.00124534,0.00100319,0.000761041,0.000726448,0.000657263,0.00038052,8.648191919843055e-05,0.0,0.8074470125029416,0.001599054,0.001661762,0.001630408,0.001599054,0.001520669,0.002053687,0.001990979,0.002069364,0.00188124,0.0015677,0.00109739,0.001128744,0.001128744,0.001034682,0.00078385,0.000376248,0.000266509,0.000219478,1063.2093951475135,0.002620661,0.001416574,0.003659482,0.001392964,0.006091267,0.004108064,0.001369355,0.002337347,0.000283315,0.000354143,0.001225296,0.004021273,0.004876513,0.0155350916440624,0.001983203,0.003423386,0.008924414,0.006587068,0.003706701,0.000283315,25579.53469710966
78.51678150589348,95.23831507,0.0153831328698336,0.0334690485232547,0.001803027,0.001034486,0.000990794,0.001378276,0.027677168,0.009374601,0.018302566,0.8805554622254619,0.002923163,0.003870652,0.003505042,0.002720035,0.002030022,0.003159432,0.002698408,0.002509558,0.002132732,0.001548299,0.00135266,0.001245085,0.001182199,0.000934015,0.000774648,0.00038106,0.000293993,0.000208045,0.7986511951763461,0.003124864,0.004266955,0.004171772,0.003378633,0.001923275,0.00325171,0.00234362,0.002359486,0.001820159,0.001399815,0.001360163,0.001157925,0.000955688,0.000765338,0.000662234,0.00034896,9.913741205943812e-05,7.931313336420017e-05,1.0158289919985786,0.00277117,0.003548535,0.002964891,0.002171289,0.002114402,0.003038126,0.002980619,0.002647583,0.00238508,0.001677628,0.001336307,0.00132007,0.001380058,0.001083839,0.000868808,0.00040503,0.000454363,0.000321251,1137.5198804321062,0.007248544,0.002870832,0.006653092,0.001986492,0.006070583,0.003885519,0.001527587,0.002238029,0.000626164,0.000395677,0.003779228,0.004046378,0.008527972,0.0215381099679927,0.003485007,0.003139452,0.0118476996271317,0.01047236,0.003954698,0.00054344,25579.53469710966
